Observ.	Price	Sales
1	54	93
2	54	92
3	53	92
4	54	91
5	52	93
6	52	95
7	56	88
8	53	93
9	56	90
10	53	95
11	52	96
12	54	93
13	54	92
14	55	88
15	53	94
16	53	95
17	53	94
18	55	89
19	55	92
20	53	95
21	54	92
22	53	93
23	54	92
24	54	94
25	54	92
26	55	88
27	54	92
28	54	93
29	52	94
30	54	91
31	52	95
32	52	95
33	54	92
34	52	94
35	52	96
36	53	94
37	53	93
38	54	93
39	53	94
40	56	88
41	55	89
42	53	95
43	56	86
44	54	93
45	55	90
46	53	94
47	55	90
48	55	90
49	54	89
50	52	97
51	54	93
52	54	91
53	55	89
54	56	88
55	54	90
56	54	91
57	53	94
58	55	90
59	53	94
60	55	91
61	55	92
62	54	94
63	55	92
64	54	92
65	55	91
66	55	92
67	51	98
68	55	90
69	53	94
70	57	86
71	54	91
72	54	93
73	54	91
74	54	93
75	54	92
76	55	91
77	54	91
78	55	91
79	53	96
80	54	93
81	54	92
82	54	93
83	55	90
84	55	91
85	56	88
86	54	92
87	53	93
88	54	91
89	54	93
90	53	93
91	54	92
92	53	94
93	54	91
94	55	91
95	54	91
96	53	92
97	54	92
98	55	90
99	54	94
100	54	93
101	55	94
102	55	88
103	54	91
104	53	93
