Observ.	Wage	LogWage	Female	Age	Educ	Parttime
1	66	4.190	0	49	1	1
2	34	3.526	1	42	1	1
3	70	4.248	1	42	1	1
4	47	3.850	0	38	1	0
5	107	4.673	1	54	1	1
6	188	5.236	1	54	1	0
7	123	4.812	1	47	1	0
8	57	4.043	1	39	1	1
9	42	3.738	1	25	1	0
10	200	5.298	0	59	1	0
11	111	4.710	0	40	1	0
12	40	3.689	1	28	1	0
13	185	5.220	1	69	1	1
14	50	3.912	1	36	1	0
15	68	4.220	1	29	1	0
16	98	4.585	0	32	1	0
17	150	5.011	1	64	1	1
18	120	4.787	0	48	1	0
19	71	4.263	1	41	1	1
20	90	4.500	1	57	1	1
21	69	4.234	0	35	1	0
22	111	4.710	1	54	1	0
23	98	4.585	0	49	1	0
24	64	4.159	1	31	1	0
25	75	4.317	0	35	1	0
26	136	4.913	1	64	1	1
27	55	4.007	0	24	1	0
28	87	4.466	0	36	1	0
29	72	4.277	1	40	1	0
30	126	4.836	0	54	1	0
31	70	4.248	1	54	1	1
32	62	4.127	0	31	1	0
33	110	4.700	1	60	1	1
34	97	4.575	1	49	1	1
35	103	4.635	0	54	1	1
36	78	4.357	0	41	1	1
37	91	4.511	0	47	1	0
38	69	4.234	1	39	1	0
39	61	4.111	1	30	1	0
40	88	4.477	0	36	1	0
41	37	3.611	1	31	1	0
42	116	4.754	1	53	1	1
43	192	5.257	0	49	1	0
44	70	4.248	0	34	1	0
45	80	4.382	0	31	1	0
46	55	4.007	1	43	1	1
47	97	4.575	1	34	1	0
48	66	4.190	0	34	1	0
49	84	4.431	1	49	1	1
50	65	4.174	0	34	1	0
51	89	4.489	0	55	1	1
52	51	3.932	1	22	1	0
53	94	4.543	0	39	1	0
54	70	4.248	1	34	1	0
55	69	4.234	1	37	1	1
56	68	4.220	1	44	1	1
57	64	4.159	0	28	1	0
58	69	4.234	1	27	1	0
59	73	4.290	1	51	1	1
60	55	4.007	1	36	1	1
61	102	4.625	1	39	1	0
62	65	4.174	1	34	1	0
63	117	4.762	0	51	1	1
64	78	4.357	1	28	1	0
65	38	3.638	1	33	1	1
66	161	5.081	0	55	1	0
67	139	4.934	0	42	1	0
68	83	4.419	1	29	1	0
69	131	4.875	1	38	1	0
70	110	4.700	1	47	1	0
71	71	4.263	1	34	1	0
72	137	4.920	0	39	1	0
73	57	4.043	0	27	1	0
74	39	3.664	1	31	1	0
75	85	4.443	0	41	1	0
76	96	4.564	1	49	1	1
77	132	4.883	1	64	1	1
78	51	3.932	1	30	1	0
79	44	3.784	1	44	1	1
80	77	4.344	0	36	1	0
81	89	4.489	0	35	1	0
82	90	4.500	1	45	1	0
83	97	4.575	1	34	1	0
84	111	4.710	1	47	1	1
85	84	4.431	0	60	1	1
86	106	4.663	1	33	1	0
87	114	4.736	0	56	1	1
88	207	5.333	1	56	1	0
89	81	4.394	1	48	1	1
90	54	3.989	0	28	1	0
91	104	4.644	1	43	1	0
92	63	4.143	0	29	1	0
93	70	4.248	0	39	1	0
94	71	4.263	1	50	1	1
95	66	4.190	1	31	1	0
96	60	4.094	0	34	1	0
97	64	4.159	0	31	1	0
98	85	4.443	0	43	1	0
99	79	4.369	1	48	1	1
100	83	4.419	0	36	1	0
101	51	3.932	1	32	1	0
102	57	4.043	0	28	1	0
103	106	4.663	1	29	1	0
104	72	4.277	0	30	1	0
105	163	5.094	0	64	1	1
106	93	4.533	0	34	1	0
107	67	4.205	0	35	1	0
108	62	4.127	0	31	1	0
109	57	4.043	1	29	1	0
110	79	4.369	0	34	1	0
111	77	4.344	1	39	1	1
112	99	4.595	0	35	1	0
113	59	4.078	0	31	1	0
114	57	4.043	1	28	1	0
115	92	4.522	0	44	1	0
116	93	4.533	0	44	1	0
117	117	4.762	0	41	1	0
118	106	4.663	0	45	1	0
119	32	3.466	1	31	1	1
120	65	4.174	0	32	1	0
121	160	5.075	0	53	1	0
122	63	4.143	0	24	1	0
123	81	4.394	1	38	1	0
124	150	5.011	1	52	1	0
125	118	4.771	1	62	1	1
126	98	4.585	0	49	1	1
127	69	4.234	1	43	1	1
128	116	4.754	0	57	1	1
129	72	4.277	0	29	1	0
130	111	4.710	1	70	1	1
131	102	4.625	0	42	1	0
132	68	4.220	1	32	1	0
133	139	4.934	0	44	1	0
134	87	4.466	1	27	1	0
135	68	4.220	0	46	1	1
136	168	5.124	0	57	1	0
137	154	5.037	0	59	1	0
138	129	4.860	0	45	1	0
139	55	4.007	0	32	1	0
140	65	4.174	1	29	1	0
141	82	4.407	0	39	1	0
142	154	5.037	0	39	1	0
143	69	4.234	1	39	1	1
144	88	4.477	1	44	1	0
145	113	4.727	1	23	1	0
146	100	4.605	0	62	1	1
147	89	4.489	0	33	1	0
148	87	4.466	0	36	1	0
149	63	4.143	1	41	1	1
150	75	4.317	1	27	1	0
151	64	4.159	0	26	1	0
152	77	4.344	0	38	1	0
153	60	4.094	0	35	1	0
154	76	4.331	1	44	1	1
155	91	4.511	0	36	1	0
156	51	3.932	0	39	1	0
157	64	4.159	0	26	1	0
158	135	4.905	0	33	1	0
159	60	4.094	0	34	1	0
160	55	4.007	0	27	1	0
161	113	4.727	1	36	1	0
162	65	4.174	0	27	1	0
163	206	5.328	0	54	1	0
164	77	4.344	0	23	1	0
165	99	4.595	0	54	1	1
166	60	4.094	0	34	1	0
167	118	4.771	1	59	1	1
168	93	4.533	0	51	1	1
169	117	4.762	1	34	1	0
170	63	4.143	0	20	1	0
171	57	4.043	0	36	1	0
172	87	4.466	0	44	1	0
173	66	4.190	0	48	1	1
174	83	4.419	0	51	1	1
175	59	4.078	1	34	1	1
176	64	4.159	0	27	1	0
177	175	5.165	0	53	1	0
178	68	4.220	0	56	1	1
179	108	4.682	0	37	1	0
180	199	5.293	0	62	1	1
181	137	4.920	0	31	1	0
182	46	3.829	1	31	1	0
183	81	4.394	0	29	1	0
184	116	4.754	1	55	1	1
185	153	5.030	0	47	1	0
186	82	4.407	1	48	1	1
187	91	4.511	0	30	1	0
188	101	4.615	0	60	1	1
189	80	4.382	1	47	1	1
190	57	4.043	1	32	1	0
191	62	4.127	0	32	1	0
192	94	4.543	0	43	1	0
193	88	4.477	0	32	1	0
194	95	4.554	0	45	1	0
195	57	4.043	0	42	1	1
196	67	4.205	1	41	1	1
197	161	5.081	0	46	2	0
198	59	4.078	1	45	2	1
199	164	5.100	0	46	2	0
200	104	4.644	0	39	2	0
201	59	4.078	1	31	2	0
202	85	4.443	1	49	2	1
203	111	4.710	1	49	2	1
204	94	4.543	1	34	2	0
205	76	4.331	1	49	2	1
206	87	4.466	1	31	2	0
207	83	4.419	1	29	2	0
208	58	4.060	0	34	2	0
209	195	5.273	1	66	2	1
210	87	4.466	0	28	2	0
211	95	4.554	0	34	2	0
212	79	4.369	0	49	2	1
213	101	4.615	1	47	2	1
214	88	4.477	0	26	2	0
215	98	4.585	1	43	2	1
216	145	4.977	0	41	2	0
217	75	4.317	1	35	2	0
218	59	4.078	0	29	2	0
219	120	4.787	1	45	2	0
220	156	5.050	0	49	2	0
221	69	4.234	0	36	2	0
222	77	4.344	1	33	2	0
223	59	4.078	0	21	2	0
224	67	4.205	0	32	2	0
225	99	4.595	1	29	2	0
226	131	4.875	1	35	2	0
227	111	4.710	1	36	2	0
228	129	4.860	1	45	2	1
229	205	5.323	0	43	2	0
230	88	4.477	1	34	2	0
231	96	4.564	0	37	2	0
232	67	4.205	0	30	2	0
233	84	4.431	0	43	2	0
234	99	4.595	1	44	2	1
235	146	4.984	0	49	2	0
236	233	5.451	0	70	2	1
237	43	3.761	1	25	2	0
238	96	4.564	0	37	2	0
239	50	3.912	1	27	2	0
240	116	4.754	0	46	2	0
241	82	4.407	1	29	2	0
242	67	4.205	0	36	2	0
243	160	5.075	0	66	2	1
244	102	4.625	0	44	2	0
245	156	5.050	1	39	2	0
246	38	3.638	1	21	2	0
247	116	4.754	0	29	2	0
248	96	4.564	0	34	2	0
249	83	4.419	1	46	2	1
250	114	4.736	0	49	2	0
251	130	4.868	1	45	2	1
252	100	4.605	0	55	2	1
253	76	4.331	1	41	2	0
254	38	3.638	0	28	2	0
255	66	4.190	0	27	2	0
256	46	3.829	1	42	2	1
257	90	4.500	0	31	2	0
258	70	4.248	1	39	2	1
259	180	5.193	0	56	2	1
260	123	4.812	0	39	2	0
261	84	4.431	0	36	2	0
262	109	4.691	0	39	2	0
263	181	5.198	1	66	2	1
264	94	4.543	0	22	2	0
265	107	4.673	1	23	2	0
266	116	4.754	0	49	2	0
267	58	4.060	0	35	2	0
268	159	5.069	1	54	2	0
269	61	4.111	1	44	2	1
270	94	4.543	1	36	2	0
271	61	4.111	1	32	2	1
272	80	4.382	1	26	2	0
273	65	4.174	0	33	2	0
274	134	4.898	0	38	2	0
275	66	4.190	0	37	2	0
276	147	4.990	0	49	2	0
277	106	4.663	0	39	2	0
278	113	4.727	0	39	2	0
279	111	4.710	0	27	2	0
280	93	4.533	0	30	2	0
281	137	4.920	0	50	2	1
282	97	4.575	0	30	2	0
283	77	4.344	0	35	2	0
284	137	4.920	1	34	2	1
285	158	5.063	0	49	2	0
286	109	4.691	0	44	2	0
287	135	4.905	0	44	2	0
288	129	4.860	1	35	2	0
289	84	4.431	0	23	2	0
290	146	4.984	0	42	2	0
291	77	4.344	1	30	2	0
292	96	4.564	0	35	2	0
293	56	4.025	1	31	2	1
294	45	3.807	1	25	2	0
295	76	4.331	1	23	2	0
296	59	4.078	0	24	2	0
297	74	4.304	0	28	2	0
298	54	3.989	1	34	2	1
299	77	4.344	0	47	2	1
300	131	4.875	0	44	2	0
301	95	4.554	0	38	2	0
302	67	4.205	0	25	2	0
303	129	4.860	0	65	2	1
304	119	4.779	0	34	2	0
305	94	4.543	0	47	2	1
306	107	4.673	0	46	2	0
307	93	4.533	1	29	2	0
308	81	4.394	1	24	2	0
309	130	4.868	1	37	2	0
310	58	4.060	1	27	2	0
311	102	4.625	0	30	2	0
312	184	5.215	1	57	2	0
313	198	5.288	0	67	2	1
314	118	4.771	0	40	2	1
315	151	5.017	0	64	2	1
316	102	4.625	1	50	2	1
317	67	4.205	0	33	2	0
318	66	4.190	1	36	2	1
319	137	4.920	0	57	2	1
320	107	4.673	1	49	2	1
321	65	4.174	1	22	2	0
322	68	4.220	0	30	2	0
323	90	4.500	0	35	2	0
324	93	4.533	1	60	2	1
325	157	5.056	0	42	2	0
326	88	4.477	0	42	2	1
327	102	4.625	1	34	2	0
328	109	4.691	0	42	2	0
329	77	4.344	1	28	2	0
330	104	4.644	1	30	2	0
331	77	4.344	1	25	3	0
332	121	4.796	1	44	3	1
333	174	5.159	0	49	3	0
334	135	4.905	0	39	3	0
335	70	4.248	0	27	3	0
336	70	4.248	1	35	3	1
337	65	4.174	1	39	3	0
338	240	5.481	0	67	3	1
339	190	5.247	1	39	3	0
340	149	5.004	0	56	3	1
341	114	4.736	0	39	3	0
342	57	4.043	1	39	3	1
343	72	4.277	1	45	3	1
344	154	5.037	1	53	3	0
345	118	4.771	0	35	3	0
346	364	5.897	1	59	3	0
347	104	4.644	0	36	3	0
348	75	4.317	1	37	3	1
349	212	5.357	0	50	3	0
350	172	5.147	0	36	3	0
